a,эй,ускорение
b,би,вектор магнитной индукции
c,си,скорость света
d,ди,диаметр
e,и,элементарный электрический заряд
f,эф,сила
g,джи,ускорение свободного падения
h,эйч,постоянная Планка
i,ай,воображаемая единица
j,джей,плотность тока
k,кей,коэффициент жесткости
l,эл,длина
m,эм,масса
n,эн,показатель преломления
o,оу,начало координат
p,пи,давление
q,кью,количество теплоты
r,ар,радиус
s,эс,перемещение
t,ти,время
u,ю,напряжение
v,ви,объем
w,дабл-ю,механичская работа
x,экс,декартовая координата
y,вай,декартовая координата
z,зед,декартовая координата
 ,,пробел
